Iteration,System_Time_Seconds,Real_Time_Seconds,Max_Memory_KB
1,8.55,23.97,1322096
2,8.44,23.84,1320984
3,8.49,23.96,1323184
4,8.60,23.85,1320904
5,8.57,24.37,1321084
6,8.61,23.91,1321348
7,8.35,24.09,1322400
8,8.48,23.74,1323496
9,8.46,23.71,1320724
10,8.50,24.03,1321252
