Iteration,System_Time_Seconds,Real_Time_Seconds,Max_Memory_KB
1,9.48,24.43,1244684
2,9.29,24.65,1244764
3,9.42,24.47,1245156
4,9.45,24.99,1244508
5,9.47,24.56,1243908
6,9.53,24.72,1244660
7,9.48,24.60,1244612
8,9.28,24.83,1244744
9,9.45,24.73,1244732
10,9.59,24.74,1244064
