Iteration,System_Time_Seconds,Real_Time_Seconds,Max_Memory_KB
1,113.67,169.72,517516
2,113.21,169.50,517592
3,113.31,169.25,517156
4,113.87,170.35,517584
5,115.56,171.88,517688
6,114.36,170.80,517572
7,115.17,171.20,517492
8,114.50,170.75,517584
9,115.49,171.66,517644
10,115.77,171.93,517200
