Iteration,System_Time_Seconds,Real_Time_Seconds,Max_Memory_KB
1,0.00,5.13,9688
2,0.00,5.00,9688
3,0.00,5.37,9688
4,0.00,5.01,9560
5,0.00,5.01,9560
6,0.00,5.01,9688
7,0.00,5.00,9688
8,0.00,5.00,9560
9,0.00,5.17,9560
10,0.00,5.53,9560
