name,config_M,real,user,sys
nbody_O3,400,10.23,10.19,0.00
nbody_O3,400,10.27,10.24,0.00
nbody_O3,400,10.22,10.19,0.00
nbody_O3,400,10.27,10.24,0.00
nbody_O3,400,10.26,10.24,0.00
nbody_O3,400,10.22,10.19,0.00
nbody_O3,400,10.22,10.19,0.00
nbody_O3,400,10.22,10.19,0.00
nbody_O3,400,10.27,10.24,0.00
nbody_O3,400,10.28,10.25,0.00
nbody_O3,400,10.26,10.24,0.00
nbody_O3,400,10.22,10.19,0.00
nbody_O3,400,10.27,10.24,0.00
nbody_O3,400,10.22,10.19,0.00
nbody_O3,400,10.29,10.27,0.00
nbody_O3,400,10.25,10.22,0.00
nbody_O3,400,10.26,10.23,0.00
nbody_O3,400,10.23,10.20,0.00
nbody_O3,400,10.27,10.24,0.00
nbody_O3,400,10.22,10.19,0.00
nbody_O3,400,10.27,10.25,0.00
nbody_O3,400,10.22,10.19,0.00
nbody_O3,400,10.27,10.24,0.00
nbody_O3,400,10.27,10.24,0.00
nbody_O3,400,10.22,10.19,0.00
