name,config_M,real,user,sys
nbody_O2,400,10.26,10.22,0.00
nbody_O2,400,10.26,10.23,0.00
nbody_O2,400,10.24,10.21,0.00
nbody_O2,400,10.26,10.23,0.00
nbody_O2,400,10.22,10.19,0.00
nbody_O2,400,10.27,10.24,0.00
nbody_O2,400,10.22,10.19,0.00
nbody_O2,400,10.27,10.24,0.00
nbody_O2,400,10.22,10.19,0.00
nbody_O2,400,10.27,10.24,0.00
nbody_O2,400,10.22,10.19,0.00
nbody_O2,400,10.25,10.23,0.00
nbody_O2,400,10.22,10.19,0.00
nbody_O2,400,10.27,10.24,0.00
nbody_O2,400,10.22,10.19,0.00
nbody_O2,400,10.26,10.23,0.00
nbody_O2,400,10.25,10.22,0.00
nbody_O2,400,10.27,10.24,0.00
nbody_O2,400,10.27,10.24,0.00
nbody_O2,400,10.22,10.20,0.00
nbody_O2,400,10.30,10.26,0.00
nbody_O2,400,10.25,10.22,0.00
nbody_O2,400,10.26,10.23,0.00
nbody_O2,400,10.22,10.20,0.00
nbody_O2,400,10.26,10.24,0.00
