name,config_size,real,user,sys
delannoy_O3,13,3.38,3.36,0.00
delannoy_O3,13,3.36,3.35,0.00
delannoy_O3,13,3.37,3.36,0.00
delannoy_O3,13,3.36,3.35,0.00
delannoy_O3,13,3.37,3.36,0.00
delannoy_O3,13,3.35,3.35,0.00
delannoy_O3,13,3.37,3.36,0.00
delannoy_O3,13,3.36,3.35,0.00
delannoy_O3,13,3.37,3.36,0.00
delannoy_O3,13,3.37,3.36,0.00
delannoy_O3,13,3.37,3.36,0.00
delannoy_O3,13,3.35,3.35,0.00
delannoy_O3,13,3.37,3.36,0.00
delannoy_O3,13,3.36,3.35,0.00
delannoy_O3,13,3.37,3.36,0.00
delannoy_O3,13,3.35,3.35,0.00
delannoy_O3,13,3.37,3.36,0.00
delannoy_O3,13,3.36,3.35,0.00
delannoy_O3,13,3.37,3.36,0.00
delannoy_O3,13,3.36,3.35,0.00
delannoy_O3,13,3.38,3.37,0.00
delannoy_O3,13,3.37,3.37,0.00
delannoy_O3,13,3.37,3.36,0.00
delannoy_O3,13,3.35,3.35,0.00
delannoy_O3,13,3.37,3.36,0.00
