name,config_size,real,user,sys
delannoy_O1,13,6.12,6.09,0.00
delannoy_O1,13,6.15,6.14,0.00
delannoy_O1,13,6.11,6.09,0.00
delannoy_O1,13,6.19,6.17,0.00
delannoy_O1,13,6.15,6.13,0.00
delannoy_O1,13,6.10,6.09,0.00
delannoy_O1,13,6.12,6.11,0.00
delannoy_O1,13,6.11,6.10,0.00
delannoy_O1,13,6.12,6.11,0.00
delannoy_O1,13,6.11,6.09,0.00
delannoy_O1,13,6.12,6.11,0.00
delannoy_O1,13,6.11,6.09,0.00
delannoy_O1,13,6.12,6.11,0.00
delannoy_O1,13,6.10,6.09,0.00
delannoy_O1,13,6.12,6.11,0.00
delannoy_O1,13,6.09,6.08,0.00
delannoy_O1,13,6.11,6.09,0.00
delannoy_O1,13,6.11,6.10,0.00
delannoy_O1,13,6.12,6.10,0.00
delannoy_O1,13,6.12,6.10,0.00
delannoy_O1,13,6.14,6.12,0.00
delannoy_O1,13,6.10,6.09,0.00
delannoy_O1,13,6.15,6.14,0.00
delannoy_O1,13,6.11,6.09,0.00
delannoy_O1,13,6.10,6.09,0.00
