name,config_size,real,user,sys
mmul-tiled-2d-64,2480,38.61,38.42,0.02
mmul-tiled-2d-64,2480,37.13,36.99,0.02
mmul-tiled-2d-64,2480,38.48,38.33,0.02
mmul-tiled-2d-64,2480,37.13,36.98,0.02
mmul-tiled-2d-64,2480,38.52,38.36,0.02
mmul-tiled-2d-64,2480,38.48,38.33,0.02
mmul-tiled-2d-64,2480,38.61,38.42,0.04
mmul-tiled-2d-64,2480,37.87,37.72,0.02
mmul-tiled-2d-64,2480,37.23,37.09,0.02
mmul-tiled-2d-64,2480,38.50,38.35,0.02
