name,config_size,real,user,sys
mmul_O3,1000,2.16,2.13,0.00
mmul_O3,1000,2.00,1.99,0.00
mmul_O3,1000,1.99,1.98,0.00
mmul_O3,1000,2.15,2.14,0.00
mmul_O3,1000,2.16,2.15,0.00
mmul_O3,1000,2.01,2.00,0.00
mmul_O3,1000,1.99,1.98,0.00
mmul_O3,1000,1.98,1.96,0.00
mmul_O3,1000,2.00,1.98,0.00
mmul_O3,1000,1.98,1.97,0.00
mmul_O3,1000,2.00,1.99,0.00
mmul_O3,1000,2.16,2.14,0.00
mmul_O3,1000,2.16,2.14,0.00
mmul_O3,1000,1.98,1.97,0.00
mmul_O3,1000,2.00,1.98,0.00
mmul_O3,1000,1.99,1.97,0.00
mmul_O3,1000,2.01,1.99,0.01
mmul_O3,1000,1.99,1.97,0.00
mmul_O3,1000,2.17,2.15,0.00
mmul_O3,1000,1.99,1.97,0.00
mmul_O3,1000,2.02,2.00,0.00
mmul_O3,1000,1.98,1.97,0.00
mmul_O3,1000,2.15,2.14,0.00
mmul_O3,1000,1.99,1.98,0.00
mmul_O3,1000,1.98,1.97,0.00
