name,config_size,real,user,sys
mmul_O2,1000,2.00,1.97,0.00
mmul_O2,1000,1.98,1.96,0.00
mmul_O2,1000,1.99,1.97,0.00
mmul_O2,1000,2.00,1.98,0.00
mmul_O2,1000,2.00,1.98,0.00
mmul_O2,1000,1.98,1.97,0.00
mmul_O2,1000,2.00,1.98,0.00
mmul_O2,1000,1.98,1.97,0.00
mmul_O2,1000,2.00,1.99,0.00
mmul_O2,1000,2.13,2.11,0.00
mmul_O2,1000,2.01,1.99,0.00
mmul_O2,1000,1.98,1.96,0.00
mmul_O2,1000,2.13,2.12,0.00
mmul_O2,1000,2.16,2.14,0.00
mmul_O2,1000,1.99,1.98,0.00
mmul_O2,1000,1.98,1.97,0.00
mmul_O2,1000,2.00,1.99,0.00
mmul_O2,1000,2.14,2.12,0.00
mmul_O2,1000,2.01,1.99,0.00
mmul_O2,1000,2.14,2.12,0.00
mmul_O2,1000,1.99,1.97,0.00
mmul_O2,1000,1.98,1.97,0.00
mmul_O2,1000,2.13,2.11,0.00
mmul_O2,1000,1.98,1.97,0.00
mmul_O2,1000,2.18,2.16,0.00
