name,config_problem,real,user,sys
qap_O0,problems/chr15c.dat,14.00,13.92,0.00
qap_O0,problems/chr15c.dat,14.01,13.98,0.00
qap_O0,problems/chr15c.dat,13.95,13.92,0.00
qap_O0,problems/chr15c.dat,14.05,14.02,0.00
qap_O0,problems/chr15c.dat,13.95,13.91,0.00
qap_O0,problems/chr15c.dat,13.99,13.95,0.00
qap_O0,problems/chr15c.dat,13.99,13.95,0.00
qap_O0,problems/chr15c.dat,14.00,13.97,0.00
qap_O0,problems/chr15c.dat,14.01,13.98,0.00
qap_O0,problems/chr15c.dat,14.08,14.04,0.00
qap_O0,problems/chr15c.dat,13.95,13.92,0.00
qap_O0,problems/chr15c.dat,14.15,14.11,0.00
qap_O0,problems/chr15c.dat,13.96,13.93,0.00
qap_O0,problems/chr15c.dat,14.01,13.98,0.00
qap_O0,problems/chr15c.dat,14.03,13.99,0.00
qap_O0,problems/chr15c.dat,14.01,13.97,0.00
qap_O0,problems/chr15c.dat,13.94,13.91,0.00
qap_O0,problems/chr15c.dat,14.09,14.06,0.00
qap_O0,problems/chr15c.dat,13.96,13.93,0.00
qap_O0,problems/chr15c.dat,14.01,13.98,0.00
qap_O0,problems/chr15c.dat,13.95,13.92,0.00
qap_O0,problems/chr15c.dat,14.01,13.98,0.00
qap_O0,problems/chr15c.dat,13.95,13.92,0.00
qap_O0,problems/chr15c.dat,14.02,13.97,0.00
qap_O0,problems/chr15c.dat,13.95,13.92,0.00
