config_size,column_name,average,variance
9.55,name,9.6,0.0
9.55,real,0.0,0.0
9.56,name,9.606666666666666,3.333333333333191e-05
9.56,real,0.0,0.0
9.58,name,9.625,5.0000000000015635e-05
9.58,real,0.0,0.0
9.59,name,9.635000000000002,4.999999999999787e-05
9.59,real,0.0,0.0
9.61,name,9.65,0.0
9.61,real,0.0,0.0
9.64,name,9.68,0.0
9.64,real,0.0,0.0
9.68,name,9.72,0.0
9.68,real,0.0,0.0
9.71,name,9.76,0.0
9.71,real,0.0,0.0
9.74,name,9.79,0.0
9.74,real,0.0,0.0
9.75,name,9.7975,2.5000000000007818e-05
9.75,real,0.0,0.0
9.76,name,9.8,0.0
9.76,real,0.0,0.0
9.77,name,9.82,0.0
9.77,real,0.0,0.0
9.78,name,9.832,0.00011999999999999488
9.78,real,0.0,0.0
9.79,name,9.84,0.0
9.79,real,0.0,0.0
