config_size,column_name,average,variance
4.79,name,4.82,0.0
4.79,real,0.0,0.0
4.80,name,4.823333333333333,3.333333333333191e-05
4.80,real,0.0,0.0
4.82,name,4.85,0.0
4.82,real,0.0,0.0
4.84,name,4.88,0.00019999999999999147
4.84,real,0.0,0.0
4.89,name,4.9175,2.4999999999998934e-05
4.89,real,0.0,0.0
4.90,name,4.922499999999999,2.4999999999998934e-05
4.90,real,0.0,0.0
4.91,name,4.933333333333334,3.3333333333337834e-05
4.91,real,0.0,0.0
4.92,name,4.946666666666667,2.6666666666665528e-05
4.92,real,0.0,0.0
4.94,name,4.97,0.0
4.94,real,0.0,0.0
