name,config_default,event_name,counter,run_time,time_enabled,run_time_enabled
npb_bt-hardware-cache,w,LLC-prefetch-misses,14088,1527186382,50,02
npb_bt-hardware-cache,w,LLC-prefetches,36094632,1526604298,50,00
npb_bt-hardware-cache,w,LLC-store-misses,6670,1525958111,49,98
npb_bt-hardware-cache,w,LLC-loads,13067433,1523520190,49,99
npb_bt-hardware-cache,w,LLC-prefetch-misses,2524,1523590378,50,00
npb_bt-hardware-cache,w,LLC-prefetches,35505154,1523959947,50,01
npb_bt-hardware-cache,w,LLC-store-misses,945,1523889759,50,00
npb_bt-hardware-cache,w,LLC-loads,13121003,1524380682,49,99
npb_bt-hardware-cache,w,LLC-prefetch-misses,1075,1525424202,50,02
npb_bt-hardware-cache,w,LLC-prefetches,35827002,1525254527,50,01
npb_bt-hardware-cache,w,LLC-store-misses,6834,1524211007,49,98
npb_bt-hardware-cache,w,LLC-loads,13235222,1524613940,49,98
npb_bt-hardware-cache,w,LLC-prefetch-misses,10849,1525660833,50,01
npb_bt-hardware-cache,w,LLC-prefetches,35847684,1525916363,50,02
npb_bt-hardware-cache,w,LLC-store-misses,4267,1524869470,49,99
npb_bt-hardware-cache,w,LLC-loads,13114159,1522923748,50,01
npb_bt-hardware-cache,w,LLC-prefetch-misses,13245,1522993817,50,02
npb_bt-hardware-cache,w,LLC-prefetches,35680380,1522025568,49,99
npb_bt-hardware-cache,w,LLC-store-misses,1602,1521955499,49,98
npb_bt-hardware-cache,w,LLC-loads,13097698,1522591160,50,01
npb_bt-hardware-cache,w,LLC-prefetch-misses,2497,1522599965,50,01
npb_bt-hardware-cache,w,LLC-prefetches,34890811,1521982330,49,99
npb_bt-hardware-cache,w,LLC-store-misses,4112,1521973525,49,99
npb_bt-hardware-cache,w,LLC-loads,13310342,1526642960,49,98
npb_bt-hardware-cache,w,LLC-prefetch-misses,10802,1526984352,49,99
npb_bt-hardware-cache,w,LLC-prefetches,35359658,1527955809,50,02
npb_bt-hardware-cache,w,LLC-store-misses,15570,1527614417,50,01
npb_bt-hardware-cache,w,LLC-loads,13232783,1526061538,49,99
npb_bt-hardware-cache,w,LLC-prefetch-misses,12698,1526830110,50,01
npb_bt-hardware-cache,w,LLC-prefetches,35256361,1526751185,50,01
