name,config_particles,real,user,sys,max_mem
nbody-2000,2000,4.25,4.24,0.00,1956
nbody-2000,2000,4.26,4.25,0.00,1956
nbody-2000,2000,4.25,4.23,0.00,1984
nbody-2000,2000,4.26,4.25,0.00,2016
nbody-2000,2000,4.27,4.25,0.00,2000
nbody-2000,2000,4.25,4.24,0.00,2008
nbody-2000,2000,4.25,4.24,0.00,1972
nbody-2000,2000,4.27,4.25,0.00,2012
nbody-2000,2000,4.25,4.23,0.00,1852
nbody-2000,2000,4.27,4.26,0.00,1924
nbody-2000,2000,4.25,4.24,0.00,1948
nbody-2000,2000,4.27,4.26,0.00,1960
nbody-2000,2000,4.25,4.23,0.00,1928
nbody-2000,2000,4.30,4.28,0.00,1896
nbody-2000,2000,4.25,4.24,0.00,2024
nbody-2000,2000,4.27,4.26,0.00,1960
nbody-2000,2000,4.25,4.23,0.00,1952
nbody-2000,2000,4.27,4.25,0.00,2012
nbody-2000,2000,4.24,4.23,0.00,1952
nbody-2000,2000,4.26,4.25,0.00,1952
nbody-2000,2000,4.25,4.23,0.00,1980
nbody-2000,2000,4.26,4.25,0.00,1852
nbody-2000,2000,4.25,4.23,0.00,1984
nbody-2000,2000,4.27,4.26,0.00,1976
nbody-2000,2000,4.26,4.25,0.00,2024

# Statistics computed by automated_evaluator.py
# Configuration: config_particles=2000
# max_mem: 1963.2 [2185.3333333333335]
# real: 4.2592 [0.00015766666666666297]
# sys: 0.0 [0.0]
# user: 4.2452000000000005 [0.0001676666666666621]
#
