name,config_particles,real,user,sys,max_mem
nbody-5000,5000,9.33,9.30,0.00,2204
nbody-5000,5000,9.37,9.34,0.00,2184
nbody-5000,5000,9.33,9.30,0.00,2184
nbody-5000,5000,9.36,9.33,0.00,2192
nbody-5000,5000,9.33,9.30,0.00,2212
nbody-5000,5000,9.35,9.33,0.00,2184
nbody-5000,5000,9.33,9.30,0.00,2136
nbody-5000,5000,9.38,9.35,0.00,2288
nbody-5000,5000,9.33,9.30,0.00,2232
nbody-5000,5000,9.33,9.30,0.00,2204
nbody-5000,5000,9.38,9.35,0.00,2204
nbody-5000,5000,9.36,9.32,0.00,2200
nbody-5000,5000,9.33,9.30,0.00,2216
nbody-5000,5000,9.38,9.35,0.00,2256
nbody-5000,5000,9.34,9.31,0.00,2188
nbody-5000,5000,9.38,9.35,0.00,2204
nbody-5000,5000,9.37,9.35,0.00,2260
nbody-5000,5000,9.34,9.30,0.00,2232
nbody-5000,5000,9.36,9.34,0.00,2188
nbody-5000,5000,9.33,9.30,0.00,2160
nbody-5000,5000,9.38,9.34,0.00,2084
nbody-5000,5000,9.38,9.35,0.00,2204
nbody-5000,5000,9.37,9.34,0.00,2200
nbody-5000,5000,9.33,9.30,0.00,2188
nbody-5000,5000,9.38,9.35,0.00,2192

# Statistics computed by automated_evaluator.py
# Configuration: config_particles=5000
# max_mem: 2199.84 [1561.9733333333334]
# real: 9.354 [0.0004666666666666737]
# sys: 0.0 [0.0]
# user: 9.324 [0.0004916666666666457]
#
