name,config_particles,real,user,sys,max_mem
nbody-5000,5000,9.34,9.30,0.00,2140
nbody-5000,5000,9.37,9.34,0.00,2084
nbody-5000,5000,9.33,9.30,0.00,2216
nbody-5000,5000,9.38,9.35,0.00,2208
nbody-5000,5000,9.33,9.30,0.00,2212
nbody-5000,5000,9.39,9.36,0.00,2256
nbody-5000,5000,9.34,9.30,0.00,2228
nbody-5000,5000,9.33,9.30,0.00,2136
nbody-5000,5000,9.38,9.35,0.00,2212
nbody-5000,5000,9.33,9.30,0.00,2228
nbody-5000,5000,9.40,9.37,0.00,2204
nbody-5000,5000,9.35,9.32,0.00,2212
nbody-5000,5000,9.41,9.37,0.00,2184
nbody-5000,5000,9.35,9.31,0.00,2200
nbody-5000,5000,9.39,9.36,0.00,2256
nbody-5000,5000,9.34,9.30,0.00,2212
nbody-5000,5000,9.37,9.34,0.00,2192
nbody-5000,5000,9.33,9.30,0.00,2184
nbody-5000,5000,9.37,9.34,0.00,2244
nbody-5000,5000,9.33,9.30,0.00,2244
nbody-5000,5000,9.38,9.35,0.00,2244
nbody-5000,5000,9.39,9.35,0.00,2156
nbody-5000,5000,9.37,9.34,0.00,2188
nbody-5000,5000,9.33,9.30,0.00,2200
nbody-5000,5000,9.37,9.34,0.00,2140

# Statistics computed by automated_evaluator.py
# Configuration: config_particles=5000
# max_mem: 2199.2 [1748.0]
# real: 9.36 [0.0006750000000000068]
# sys: 0.0 [0.0]
# user: 9.3276 [0.0006856666666666374]
#
