name,config_problem,real,user,sys
npb_bt_O2,w,3.29,3.25,0.00
npb_bt_O2,w,3.24,3.22,0.00
npb_bt_O2,w,3.22,3.20,0.00
npb_bt_O2,w,3.24,3.22,0.00
npb_bt_O2,w,3.23,3.21,0.00
npb_bt_O2,w,3.24,3.23,0.00
npb_bt_O2,w,3.22,3.20,0.00
npb_bt_O2,w,3.24,3.22,0.00
npb_bt_O2,w,3.22,3.20,0.00
npb_bt_O2,w,3.24,3.23,0.00
npb_bt_O2,w,3.22,3.21,0.00
npb_bt_O2,w,3.24,3.22,0.00
npb_bt_O2,w,3.22,3.21,0.00
npb_bt_O2,w,3.24,3.23,0.00
npb_bt_O2,w,3.22,3.20,0.00
npb_bt_O2,w,3.24,3.23,0.00
npb_bt_O2,w,3.22,3.20,0.00
npb_bt_O2,w,3.26,3.24,0.00
npb_bt_O2,w,3.23,3.21,0.00
npb_bt_O2,w,3.26,3.24,0.00
npb_bt_O2,w,3.22,3.20,0.00
npb_bt_O2,w,3.22,3.21,0.00
npb_bt_O2,w,3.22,3.20,0.00
npb_bt_O2,w,3.24,3.22,0.00
npb_bt_O2,w,3.22,3.20,0.00
