name,config_size,real,user,sys,max_mem
mmul-1000,1000,2.03,2.01,0.00,24580
mmul-1000,1000,2.00,1.99,0.00,24552
mmul-1000,1000,2.01,1.99,0.00,24652
mmul-1000,1000,2.00,1.98,0.00,24592
mmul-1000,1000,2.00,1.99,0.00,24544
mmul-1000,1000,2.13,2.11,0.00,24648
mmul-1000,1000,1.99,1.97,0.00,24544
mmul-1000,1000,2.13,2.12,0.00,24552
mmul-1000,1000,2.01,2.00,0.00,24708
mmul-1000,1000,2.13,2.12,0.00,24608
mmul-1000,1000,2.03,2.01,0.00,24592
mmul-1000,1000,2.00,1.98,0.00,24528
mmul-1000,1000,1.99,1.98,0.00,24532
mmul-1000,1000,2.00,1.99,0.00,24544
mmul-1000,1000,2.01,2.00,0.00,24552
mmul-1000,1000,2.01,1.99,0.00,24580
mmul-1000,1000,1.99,1.97,0.00,24540
mmul-1000,1000,2.01,2.00,0.00,24532
mmul-1000,1000,2.00,1.99,0.00,24576
mmul-1000,1000,2.14,2.13,0.00,24608
mmul-1000,1000,2.14,2.12,0.00,24604
mmul-1000,1000,1.99,1.97,0.00,24492
mmul-1000,1000,1.99,1.98,0.00,24536
mmul-1000,1000,2.00,1.98,0.00,24552
mmul-1000,1000,1.99,1.98,0.00,24528

# Statistics computed by automated_evaluator.py
# Configuration: config_size=1000
# max_mem: 24571.04 [2289.7066666666665]
# real: 2.0288 [0.0030026666666666682]
# sys: 0.0 [0.0]
# user: 2.014 [0.0030500000000000015]
#
