name,config_size,real,user,sys,max_mem
mmul-1000,1000,1.98,1.96,0.00,24548
mmul-1000,1000,2.02,2.01,0.00,24492
mmul-1000,1000,1.99,1.97,0.00,24492
mmul-1000,1000,1.99,1.98,0.00,24444
mmul-1000,1000,1.99,1.97,0.00,24540
mmul-1000,1000,2.14,2.12,0.00,24644
mmul-1000,1000,2.11,2.09,0.00,24592
mmul-1000,1000,1.99,1.98,0.00,24604
mmul-1000,1000,2.14,2.12,0.00,24648
mmul-1000,1000,1.99,1.98,0.00,24588
mmul-1000,1000,1.98,1.96,0.00,24612
mmul-1000,1000,2.00,1.98,0.00,24560
mmul-1000,1000,1.98,1.97,0.00,24528
mmul-1000,1000,2.00,1.99,0.00,24580
mmul-1000,1000,1.99,1.97,0.00,24536
mmul-1000,1000,2.00,1.98,0.00,24596
mmul-1000,1000,1.99,1.97,0.00,24536
mmul-1000,1000,2.02,2.01,0.00,24536
mmul-1000,1000,2.11,2.09,0.01,24620
mmul-1000,1000,2.15,2.13,0.00,24592
mmul-1000,1000,1.98,1.96,0.00,24484
mmul-1000,1000,2.16,2.14,0.00,24608
mmul-1000,1000,1.98,1.96,0.00,24596
mmul-1000,1000,2.02,2.01,0.00,24644
mmul-1000,1000,2.02,2.01,0.00,24448

# Statistics computed by automated_evaluator.py
# Configuration: config_size=1000
# max_mem: 24562.72 [3431.6266666666666]
# real: 2.0288 [0.003961000000000002]
# sys: 0.0004 [4e-06]
# user: 2.0124 [0.003794000000000002]
#
