name,config_problem,real,user,sys
npb_bt_O1,w,3.14,3.11,0.00
npb_bt_O1,w,3.10,3.09,0.00
npb_bt_O1,w,3.12,3.11,0.00
npb_bt_O1,w,3.11,3.09,0.00
npb_bt_O1,w,3.10,3.08,0.00
npb_bt_O1,w,3.10,3.08,0.00
npb_bt_O1,w,3.12,3.10,0.00
npb_bt_O1,w,3.10,3.09,0.00
npb_bt_O1,w,3.11,3.10,0.00
npb_bt_O1,w,3.10,3.08,0.00
npb_bt_O1,w,3.12,3.10,0.00
npb_bt_O1,w,3.10,3.08,0.00
npb_bt_O1,w,3.12,3.11,0.00
npb_bt_O1,w,3.09,3.08,0.00
npb_bt_O1,w,3.12,3.10,0.00
npb_bt_O1,w,3.11,3.09,0.00
npb_bt_O1,w,3.12,3.10,0.00
npb_bt_O1,w,3.12,3.10,0.00
npb_bt_O1,w,3.13,3.11,0.00
npb_bt_O1,w,3.10,3.08,0.00
npb_bt_O1,w,3.12,3.10,0.00
npb_bt_O1,w,3.12,3.11,0.00
npb_bt_O1,w,3.12,3.10,0.00
npb_bt_O1,w,3.12,3.10,0.00
npb_bt_O1,w,3.12,3.10,0.00
